x	y
-10.00	-4.940158
-9.90	-4.897961
-9.80	-4.422518
-9.70	-3.564748
-9.60	-2.408589
-9.50	-1.062839
-9.40	0.349048
-9.30	1.700285
-9.20	2.872135
-9.10	3.764342
-9.00	4.303692
-8.90	4.449972
-8.80	4.198854
-8.70	3.581499
-8.60	2.660991
-8.50	1.525998
-8.40	0.282274
-8.30	-0.957180
-8.20	-2.082376
-8.10	-2.996103
-8.00	-3.622313
-7.90	-3.912418
-7.80	-3.848971
-7.70	-3.446471
-7.60	-2.749280
-7.50	-1.826904
-7.40	-0.767145
-7.30	0.332232
-7.20	1.372502
-7.10	2.262850
-7.00	2.928295
-6.90	3.315977
-6.80	3.399296
-6.70	3.179567
-6.60	2.685123
-6.50	1.968005
-6.40	1.098608
-6.30	0.158831
-6.20	-0.765618
-6.10	-1.593041
-6.00	-2.252962
-5.90	-2.692118
-5.80	-2.878712
-5.70	-2.804585
-5.60	-2.485188
-5.50	-1.957410
-5.40	-1.275539
-5.30	-0.505775
-5.20	0.280159
-5.10	1.011688
-5.00	1.625720
-4.90	2.072080
-4.80	2.317579
-4.70	2.348377
-4.60	2.170500
-4.50	1.808515
-4.40	1.302562
-4.30	0.704070
-4.20	0.070608
-4.10	-0.539625
-4.00	-1.073146
-3.90	-1.485868
-3.80	-1.746724
-3.70	-1.839922
-3.60	-1.765685
-3.50	-1.539468
-3.40	-1.189787
-3.30	-0.754934
-3.20	-0.278923
-3.10	0.192904
-3.00	0.618178
-2.90	0.961305
-2.80	1.196438
-2.70	1.309351
-2.60	1.298106
-2.50	1.172500
-2.40	0.952401
-2.30	0.665206
-2.20	0.342695
-2.10	0.017655
-2.00	-0.279415
-1.90	-0.523151
-1.80	-0.695488
-1.70	-0.786942
-1.60	-0.796932
-1.50	-0.733148
-1.40	-0.610103
-1.30	-0.447048
-1.20	-0.265512
-1.10	-0.086760
-1.00	0.070560
-0.90	0.192321
-0.80	0.270185
-0.70	0.302123
-0.60	0.292154
-0.50	0.249374
-0.40	0.186408
-0.30	0.117499
-0.20	0.056464
-0.10	0.014776
-0.00	0.000000
0.10	0.014776
0.20	0.056464
0.30	0.117499
0.40	0.186408
0.50	0.249374
0.60	0.292154
0.70	0.302123
0.80	0.270185
0.90	0.192321
1.00	0.070560
1.10	-0.086760
1.20	-0.265512
1.30	-0.447048
1.40	-0.610103
1.50	-0.733148
1.60	-0.796932
1.70	-0.786942
1.80	-0.695488
1.90	-0.523151
2.00	-0.279415
2.10	0.017655
2.20	0.342695
2.30	0.665206
2.40	0.952401
2.50	1.172500
2.60	1.298106
2.70	1.309351
2.80	1.196438
2.90	0.961305
3.00	0.618178
3.10	0.192904
3.20	-0.278923
3.30	-0.754934
3.40	-1.189787
3.50	-1.539468
3.60	-1.765685
3.70	-1.839922
3.80	-1.746724
3.90	-1.485868
4.00	-1.073146
4.10	-0.539625
4.20	0.070608
4.30	0.704070
4.40	1.302562
4.50	1.808515
4.60	2.170500
4.70	2.348377
4.80	2.317579
4.90	2.072080
5.00	1.625720
5.10	1.011688
5.20	0.280159
5.30	-0.505775
5.40	-1.275539
5.50	-1.957410
5.60	-2.485188
5.70	-2.804585
5.80	-2.878712
5.90	-2.692118
6.00	-2.252962
6.10	-1.593041
6.20	-0.765618
6.30	0.158831
6.40	1.098608
6.50	1.968005
6.60	2.685123
6.70	3.179567
6.80	3.399296
6.90	3.315977
7.00	2.928295
7.10	2.262850
7.20	1.372502
7.30	0.332232
7.40	-0.767145
7.50	-1.826904
7.60	-2.749280
7.70	-3.446471
7.80	-3.848971
7.90	-3.912418
8.00	-3.622313
8.10	-2.996103
8.20	-2.082376
8.30	-0.957180
8.40	0.282274
8.50	1.525998
8.60	2.660991
8.70	3.581499
8.80	4.198854
8.90	4.449972
9.00	4.303692
9.10	3.764342
9.20	2.872135
9.30	1.700285
9.40	0.349048
9.50	-1.062839
9.60	-2.408589
9.70	-3.564748
9.80	-4.422518
9.90	-4.897961
10.00	-4.940158
